Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
PPIC Officer,PT. ENVITEC MULTI INDONESIA,Dumai,"Rp6,035,139"
Retail Manager,PT Bali Ocean Magic (Waterbom Bali),Kuta,"Rp11,930,909"
ACCOUNTING,PT Kamindo Makmur,Jakarta Raya,"Rp6,875,304"
Staff Accounting,Pengiklan Anonim,Tangerang,"Rp8,500,000"
Brand Manager,COMBIPHAR Group,Jakarta Selatan,"Rp10,659,441"
Compliance Section Head,PT Taisho Pharmaceutical Indonesia Tbk.,Jakarta Selatan,"Rp6,437,281"
Kepala Operasional Armada Ekspedisi,Tamansari Chicken Processing,Tasikmalaya,"Rp5,000,000"
Audit IT,PT INDOLIFE PENSIONTAMA,Jakarta Selatan,"Rp6,754,658"
Civil Inspector,CIPUTRA GROUP,Batam,"Rp5,698,961"
FINANCE & ACCOUNTING STAFF,PT Hsing Loong Indonesia,Jakarta Raya,"Rp5,477,433"
Asst Manager PPIC,PT ORI POLYTEC COMPOSITES,Jawa Barat,"Rp9,926,518"
Leader Host live manager coordinator PIC tiktok shopee PIK2 free APART,PT. INDO KKHUB GROUP,Jakarta Utara,"Rp7,500,000"
Manager Financial Reporting & Compliance,Pengiklan Anonim,Jakarta Barat,"Rp19,000,000"
Manajemen Rumah Sakit,PT. Rajut Ananda Hidup Mandiri,Bekasi,"Rp6,000,000"
HRD,CV Polygraf,Gedangan,"Rp5,675,007"
MT Restaurant Supervisor - Kota Baru Parahyangan,Sari Rasa Group,Bandung,"Rp7,223,112"
STAFF PURCHASING,PT. LUCID MULIA INDONESIA,Jakarta Pusat,"Rp4,750,000"
Regional Sales Manager,PT Delta Sukses Teknologi,Jakarta Raya,"Rp10,478,442"
PRESCHOOL TEACHER,Yay.Tunas Cendekia Bangsa,Jakarta Raya,"Rp5,376,247"
Talent Acquisition,PT Sempoa Sip Indonesia,Tangerang,"Rp10,000,000"
Talent Acquisition,PT Sempoa Sip Indonesia,Tangerang,"Rp8,096,608"
IT Manager,PT Wedison Green Energy Group,Jakarta Selatan,"Rp11,557,908"
Digital Marketing Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp6,238,039"
Accounting Staff,PT. Vallianz Offshore Maritim,Jakarta Selatan,"Rp5,030,560"
Moulding Injection Supervisor ( SPV ),Pengiklan Anonim,Bekasi,"Rp10,000,000"
Senior Officer General Services,HuntHire,Jakarta Pusat,"Rp7,107,765"
Telesales Jakarta selatan,PT Rajawali Berdikari Indonesia,Jakarta Selatan,"Rp4,250,000"
HR Shared Service Asst Manager,PT Bussan Auto Finance (BAF),Jakarta Selatan,"Rp13,946,838"
KOL Specialist (Fashion),PT MISSSHINE TRENDS INDONESIA,Jakarta Barat,"Rp6,000,000"
Onsite Construction Assistant,PT Gaia Dhara Pratama,Badung,"Rp6,000,000"
Digital Marketing E-commerce Specialist,Citra Jaya Plastik,Jakarta Raya,"Rp5,500,000"
Junior Marketing,Valerian Lotus,Jakarta Barat,"Rp5,500,000"
Trade Marketing,PT Kecantikan Alami Indonesia,Jakarta Barat,"Rp5,803,231"
COMMERCIAL EXECUTIVE,PT Vasco Ocean Lines,Jakarta Selatan,"Rp17,500,000"
Network Engineer,PT. Aviro Global Teknologi,Jakarta Selatan,"Rp7,625,000"
Head of IT (EDP),PT Solo Murni,Jawa Tengah,"Rp6,720,631"
Business Development Officer,CIPUTRA GROUP,Jakarta Raya,"Rp7,550,910"
Finance and Accounting assistant manager,PT Wah Lee Indonesia,Jakarta Barat,"Rp12,500,000"
Operation Training Manager - (F&B),Pengiklan Anonim,Jakarta Raya,"Rp11,821,328"
Assistant Manager Engineering,PT Fumakilla Indonesia,Tangerang,"Rp7,472,871"
Accounting Supervisor,PT Enplas Indonesia,Cikarang,"Rp10,500,000"
