Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Retail Material & Distribution Specialist - Infinix,PT Carlcare Service Ila,Jakarta Barat,"Rp8,004,556"
Music Data Administrator,Fett Music,Bali,"Rp5,414,624"
TECHNICAL SPECIALIST (LUBRICANT),"PT AKR Corporindo, Tbk",Manado,"Rp6,495,146"
Customer Service,Kawan Lama Group,Jakarta Utara,"Rp5,517,339"
Host & Operator Live Streaming,PT Grand Fan Indonesia,Jakarta Utara,"Rp5,500,000"
MARKETING EXECUTIVE,Vlife Medical,Jakarta Pusat,"Rp12,500,000"
Patient Relations Specialist,Smileworks Dental Care,Jakarta Utara,"Rp6,227,542"
People & Organization Development Staff,PT Santos Jaya Abadi,Karawang,"Rp5,879,733"
Staf Produksi Tegel,Madana Tiles,Jabon,"Rp3,500,000"
Internal Audit Staff,PT Kb Valbury Sekuritas,Jakarta Pusat,"Rp5,543,345"
Chief Accounting,PT Mitramas Konstruksi Perkasa,Bogor,"Rp12,500,000"
EDI STAFF,PT Andalan Daya Abadi,Kelapa Gading,"Rp4,947,163"
Finance Accounting Manager,PT Lembah Tanahlot Permai,Tabanan,"Rp15,071,397"
Kabag. Kredit Kontrol,PT Wonokoyo Jaya Kusuma,Kabupaten Serang,"Rp5,199,713"
Head Cook,PT. Acaraki Nusantara Persada Jakarta Utara,Tangerang,"Rp6,647,540"
Engineer,PT XD Sakti Indonesia,Cikarang Pusat,"Rp4,711,626"
Business Development Executive,PT Extramarks Education Indonesia,Jawa Barat,"Rp6,958,345"
HSE Officer,PT Aica Indria,Jakarta Timur,"Rp7,000,000"
HSE Officer,PT Aica Indria,Jakarta Timur,"Rp6,689,475"
Sales,PT. Lesso Technology Indonesia,Samarinda,"Rp7,000,000"
Expeditor,PT NUSA JAYA SENTOSA,Jakarta Utara,"Rp5,794,195"
Audit,PT Perdana Bangun Pusaka Tbk,Jakarta Pusat,"Rp6,000,000"
Cashier - Branch Serpong,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,"Rp3,803,857"
Site Manager,PT Tri Tunggal Mahardi,Jakarta Timur,"Rp6,250,000"
Supervisor Remunerasi,Evo Nusa Bersaudara,Banyuasin,"Rp6,904,104"
Finance Supervisor,Didang Medika,Jakarta Selatan,"Rp10,000,000"
Flavor QC Analyst,PT Takasago International Indonesia,Cikarang,"Rp5,609,617"
Koordinator Finance,PT. PANTI KOSMETIKA BARU,Jakarta Barat,"Rp5,729,896"
Tax Staff,PT. LIFETIME DESIGN,Jakarta Selatan,"Rp5,549,039"
HRGA SPV,PT. Deli Mitra Bahari,Jakarta Raya,"Rp6,720,036"
Marketing Officer (Duri),PT Dipo Star Finance,Bengkalis,"Rp5,000,000"
Staff K3,Supreme Paper Solution,Jawa Barat,"Rp5,071,706"
Digital Marketing,PT RED PILL AUDIO,Ubud,"Rp6,250,000"
Export Import Supervisor (Furniture/Building Material Manufacture),Pengiklan Anonim,Jakarta Selatan,"Rp7,480,393"
Staff Finance (AR),PT Trimanunggal Sejahtera,Jakarta Pusat,"Rp5,500,000"
CIMB Niaga Teller CIPTA - Samarinda,PT CIMB Niaga Tbk,Kalimantan Timur,"Rp4,699,144"
Sales Support,PT Gihon Telekomunikasi Indonesia,Tangerang Selatan,"Rp5,910,726"
Management Trainee Dealer Financing,"PT. BFI FINANCE INDONESIA, Tbk",Jawa Barat,"Rp6,665,518"
People Partner Manager (Batam Manufacturing),PT Philips Industries Batam,Batam,"Rp15,150,621"
Fashion Designer,Owlet Babystuff,Jakarta Barat,"Rp7,000,000"
Business Development Executive (Sumatera Selatan),PT Bali Hai Brewery Indonesia,Sumatera Selatan,"Rp5,462,891"
BANCASSURANCE SPECIALIST -SOLOK,PT BNI Life Insurance,Solok,"Rp3,511,249"
Senior Mobile Developer,Teleperformance,Jakarta Selatan,"Rp10,870,817"
ACCOUNTING AND TAX MANAGER,Pengiklan Anonim,Tangerang,"Rp13,649,157"
Buyer Merchandising (mandarin),"PT Electronic City Indonesia, Tbk",Jakarta Selatan,"Rp12,242,784"
R & D Hydrocolloid Manager,PT Inti Everspring Indonesia (Jakarta branch),Jakarta Raya,"Rp12,534,235"
Maintenance Supervisor - Dairy Products,Cimory Group,Bogor,"Rp7,204,122"
Trade Marketing Group,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,"Rp7,123,129"
Professional Financial Consultant Area Pondok Indah,PT Asuransi Jiwa Astra,Jakarta Selatan,"Rp5,000,000"
Field Trainer PONTIANAK,PT Kredivo Finance Indonesia,Pontianak,"Rp5,485,273"
supervisor finance & accounting,CV PINUS PACKINDO,Kabupaten Pati,"Rp4,500,000"
supervisor finance & accounting,CV PINUS PACKINDO,Kabupaten Pati,"Rp4,500,000"
Quality Assurance Staff,Pengiklan Anonim,Depok,"Rp4,711,955"
Staff Cost Accountant,PT Beka Wire Indonesia,Subang,"Rp5,602,848"
Account Executive,PT. Duta Teknologi Nusantara,Surabaya,"Rp6,666,667"
SALES (CIREBON),PT Pipamas Primasejati,Kabupaten Cirebon,"Rp3,750,000"
Sales Supervisor,PT Wellsun Plastic Technology Indonesia,Surabaya,"Rp5,984,109"
IT BUSINESS ANALYST (BANKING),PT Lawencon Internasional,Jakarta Raya,"Rp7,761,112"
Business Development,PT Saridewi Natural Kosmetik,Jakarta Utara,"Rp11,000,000"
System Support Specialist (Odoo ERP),PT. PRAKARSA JAYA SENTOSA,Jakarta Utara,"Rp6,659,035"
Data Reporting Analyst,PT Wismilak Inti Makmur Tbk,Surabaya,"Rp5,666,451"
R&D Manager,PT Dover Chemical,Cilegon,"Rp12,597,909"
English Live Chat - Surakarta,Teleperformance,Surakarta,"Rp4,005,274"
Accounting & Tax Staff,Binakarya Propertindo Group,Cengkareng,"Rp5,222,446"
Graphic Designer Staff,PT. CJ Foodville Bakery and Cafe Indonesia ( TOUS les JOURS ),Jakarta Selatan,"Rp6,409,407"
PASSIONATE KINDERGARTEN TEACHER,Yayasan Taman Montessori Grace,Bogor,"Rp3,350,000"
HEAD OF MARKETING VENUE,PT Adimitra Sukses,Tangerang Selatan,"Rp9,245,112"
SPV Proyek (Penempatan Bali),PT Deselindo Sejahtera Abadi,Bali,"Rp5,557,324"
Security Engineer,RemoHires,Jakarta Raya,"Rp11,000,000"
Coordinator Sales Control,PT Benberg Arome Indonesia,Surabaya,"Rp7,000,000"
Sales PIC Area Samarinda,PT Sumi Rubber Indonesia (Dunlop),Kalimantan Timur,"Rp4,348,243"
Apoteker Penanggung Jawab (Distributor Cabang),PT. SOHO Industri Pharmasi,Tangerang,"Rp5,791,244"
Area Supervisor Bali,PT Dream Dare Discover,Bali,"Rp6,468,974"
Accounting,PT JAYA FUTURA KREANOVA,Jakarta Utara,"Rp5,101,872"
Commissioning Engineer,PT Starway Engineering Indonesia,Papua Barat,"Rp4,563,184"
Area Sales Leader - CILEGON TANGERANG,PT Kredivo Finance Indonesia,Cilegon,"Rp6,100,049"
Sales,CV Solusi Klik,Karawaci,"Rp5,350,354"
Sales Spare Part Mesin,PT Jarum Mas Indonesia,Jakarta Utara,"Rp8,350,000"
Pengurus Trucking,PT. Mega Karya Sakti,Cirebon,"Rp2,750,000"
Recruiter Intern (6 months),PT Hashmicro Solusi Indonesia,Jakarta Pusat,"Rp1,500,000"
Evaluation Geologist,Pengiklan Anonim,Samarinda,"Rp5,414,682"
HUMAN RESOURCE GENERAL AFFAIRS,PT ALEXINDO AGUNG PERKASA,Bekasi,"Rp5,500,000"
WWTP Engineer,PT Evoluzione Tyres,Subang,"Rp4,563,184"
Key Account Manager,PT Bolttech Device Protection Indonesiaâ€ (â€œbolttechâ€),Jakarta Raya,"Rp7,250,000"
Key Account Manager,PT Bolttech Device Protection Indonesiaâ€ (â€œbolttechâ€),Jakarta Raya,"Rp8,996,620"
Executive Strategic Sales & Operation,PT Chateraise Gobel Indonesia,Jakarta Selatan,"Rp7,004,075"
Perawat Gigi,PT OKE Dental Clinic,Jakarta Selatan,"Rp6,131,705"
OPERATIONAL DOCTOR,PT Berkat Langgeng Sehat Sentosa,Cakung,"Rp6,027,915"
Card Funding Officer (Pangkal Pinang),"PT. Bank Mega, Tbk",Pangkal Pinang,"Rp4,914,594"
Preferred Relationship Manager - Penempatan JABODETABEK,PT CIMB Niaga Tbk,Jakarta Raya,"Rp11,622,438"
Finance & Accounting Staff,PT OHLALA INTERNATIONAL,Jakarta Raya,"Rp5,477,433"
SPV UTILITY & SANITASI,PT Pesta Pora Abadi,Majalengka,"Rp6,945,594"
Supervisor Produksi Furnitur,Bika Group,Tangerang Selatan,"Rp7,250,000"
Preferred Relationship Manager - Penempatan Pangkal Pinang,PT CIMB Niaga Tbk,Pangkal Pinang,"Rp10,955,014"
HR Development,PT. Tahta Kasih Karunia,Waru,"Rp5,588,684"
Assistant Store Manager ( Samarinda ),PT Catur Mitra Sejati Sentosa ( Mitra10 ),Samarinda,"Rp8,250,000"
SALES EXECUTIVE AREA JAWA TENGAH,CV Langgeng Makmur Corpora,Jawa Tengah,"Rp4,300,000"
Staff Accounting & Tax,Johan Garage,Bekasi Timur,"Rp5,000,000"
Warehouseman,Kawan Lama Group,Makassar,"Rp4,253,294"
Quality Assurance,Bahan baku keramik,Tangerang,"Rp4,650,000"
Credit Management Division Head,"PT Bank Woori Saudara Indonesia 1906, Tbk",Jakarta Selatan,"Rp9,597,934"
Head Baker,PT Adonan Juara Indonesia,Medan,"Rp10,000,000"
"Marketing Campaign Coordinator (Canggu, Bali)",The Global Business Factory,Bali,"Rp7,000,000"
KOL Intern,SEVEN Retail Group,Jakarta Barat,"Rp1,932,070"
Quality Control,PT Graha Usaha Teknik,Balikpapan,"Rp4,709,043"
Staff Peternakan Ruminansia (Ternak Besar),Pengiklan Anonim,Tapanuli Utara,"Rp4,929,809"
HR Supervisor,PT HAMANA WORKS INDONESIA,Kabupaten Tegal,"Rp6,488,079"
Regional Sales Manager - West Java,ASIA PULP AND PAPER,Serpong,"Rp15,465,835"
Content Creator,PT. ARSYADANI HASANAH,Jakarta Pusat,"Rp4,500,000"
Online Sales Manager,PT Sant Group Indonesia,Jakarta Raya,"Rp12,500,000"
Consolidation & Accounting Manager,PT Aneka Bintang Gading,Tangerang,"Rp7,697,291"
Marketing Departement Head,PT Daya Anugrah Mandiri,Bandung Kidul,"Rp11,995,005"
Cost Control,PT CIPTA MANDIRI KONSTRUKSI,Surabaya,"Rp6,000,000"
Photographer Property,PT. Sunset Bali Properti,Kuta Selatan,"Rp7,000,000"
Architect,PT SPASI KREASI INDONESIA,Jakarta Barat,"Rp6,764,259"
"Sales area Timur (Kediri, Tulungagung, Madura, Jombang, Lamongan, Malang, Bali)",Pengiklan Anonim,Jawa Timur,"Rp5,035,023"
Consolidation & Accounting Manager,PT Aneka Bintang Gading,Tangerang,"Rp6,000,000"
Consolidation & Accounting Manager,PT Aneka Bintang Gading,Tangerang,"Rp7,697,291"
Marketing Departement Head,PT Daya Anugrah Mandiri,Bandung Kidul,"Rp11,995,005"
Cost Control,PT CIPTA MANDIRI KONSTRUKSI,Surabaya,"Rp6,000,000"
Photographer Property,PT. Sunset Bali Properti,Kuta Selatan,"Rp7,000,000"
Architect,PT SPASI KREASI INDONESIA,Jakarta Barat,"Rp6,764,259"
"Sales area Timur (Kediri, Tulungagung, Madura, Jombang, Lamongan, Malang, Bali)",Pengiklan Anonim,Jawa Timur,"Rp5,035,023"
Staff Engineering,PT. Reckat Composites Delmima,Cileungsi,"Rp4,500,000"
Area Sales Manager Wilayah Bali - Nusa Tenggara,PT Fumakilla Indonesia,Bali,"Rp10,257,176"
Staff E-Commerce,Pengiklan Anonim,Jakarta Raya,"Rp5,486,976"
MANAGER KEPERAWATAN,RS Permata Cibubur,Bekasi,"Rp13,557,105"
Senior Personal Assistant,PT. ONDA MEGA INTEGRA,Jakarta Utara,"Rp6,810,566"
HR Shared Service Supervisor,PT. EAST INDO FAIR TRADING (YAVA),Bali,"Rp6,668,759"
Graphic Designer,Akura Villas,Badung,"Rp10,000,000"
Learning Center Manager,Miss Michelle Learning House,Jakarta Selatan,"Rp11,952,222"
Rigger,PT Ekanuri,Jakarta Utara,"Rp5,794,195"
Account Executive,Auto2000 Tabanan,Kediri,"Rp6,250,000"
Legal And Compliance Manager,PT. Fidac Inovasi Technology,Jakarta Raya,"Rp13,046,855"
HRGA,PT Paradise Jaya Tehnik,Jakarta Utara,"Rp5,750,000"
Finance Analyst,Pengiklan Anonim,Jakarta Selatan,"Rp5,312,922"
MEKANIK PENDINGIN,PT Java Seafood,Indramayu,"Rp4,983,487"
Service Officer (Customer Service),Wall Street English,Jakarta Selatan,"Rp5,396,761"
Finance Accounting and Tax Supervisor (Civil),PT Parama Agung Karya,Jakarta Selatan,"Rp7,511,017"
Dokter Polibun (Dokter Site),PT Triputra Agro Persada,Kalimantan Timur,"Rp12,834,229"
Regulatory Affairs Staff,Sensatia Botanicals,Karangasem,"Rp4,500,000"
Staf Pemasaran (Properti),PT Graha Menara Hijau,Jakarta Selatan,"Rp6,032,194"
Account Officer (Denpasar),MSIG Life Insurance Indonesia Tbk,Denpasar,"Rp4,661,099"
SALESMAN (SPORTING GOODS),PT Vita Nova Atletik (Ortuseight),Tangerang,"Rp5,383,473"
Mine Reporting Staff,PT Bayan Resources,Jakarta Raya,"Rp5,892,629"
Area Manager (fast-food industry),Pengiklan Anonim,Bali,"Rp15,000,000"
Accountant Payroll,PT Kuala Pelabuhan Indonesia,Jakarta Raya,"Rp8,539,527"
FORMULATOR R&D UNTUK SKINCARE/DEKORATIF/FARMASI,PT Derma Enom Farma,Tangerang,"Rp8,925,530"
KORDINATOR HOST LIVE STREAMING,PT Axindo Infotama,Jakarta Pusat,"Rp6,000,000"
Supervisor Accounting,PT Dana Kharisma,Jakarta Utara,"Rp8,500,000"
Supervisor Accounting,PT Dana Kharisma,Jakarta Utara,"Rp8,500,000"
SEO Specialist,Harian Bisnis Indonesia,Jakarta Pusat,"Rp7,250,000"
Financial Advisor - Area Pontianak,PT AXA Mandiri Financial Services,Pontianak,"Rp4,250,000"
LAWYER,Farsight24 Villas,Bali,"Rp10,500,000"
Sales Trucking,PT Global Jet Cargo (J&T Cargo),Bekasi Utara,"Rp4,680,355"
Project ERP Data Migration (D365FO),Siloam Hospitals Group (Tbk),Karawaci,"Rp5,730,568"
Key Account Manager,Breylee & Lanbena,Jakarta Barat,"Rp9,696,079"
Staff Finance & TAX,PT Acosta Super Food,Tangerang,"Rp7,500,000"
Account Officer (Semarang),MSIG Life Insurance Indonesia Tbk,Semarang,"Rp4,284,573"
"Manager, Finance and Taxation",Pengiklan Anonim,Jakarta Utara,"Rp15,500,000"
Supervisor Accounting and Tax,PT Mahakarya Sukses Indonesia,Tangerang,"Rp9,000,000"
Account Specialist (AS-HJ),PT Hexpharm Jaya Laboratories (a Kalbe company),Cirebon,"Rp5,123,993"
Marketing ATK dan Pengadaan Umum,PT Garuda Radika Perkasa,Jakarta Raya,"Rp6,250,000"
Procurement Staff (Balikpapan),Siloam Hospitals Group (Tbk),Balikpapan,"Rp4,573,285"
Actuary Officer,PT Lippo General Insurance Tbk,Tangerang,"Rp5,362,996"
Kepala Divisi Qa-Qc,CV Indosurya Mahakam,Cirebon,"Rp6,235,427"
Social Media Specialist,CV Solusi Klik,Karawaci,"Rp5,583,800"
Customer Service,Kawan Lama Group,Bontang,"Rp4,388,147"
Manajer Operasional,PT Sukses Lautan Indonesia,Tuban,"Rp6,101,623"
Manager Cloud Infra & Security,PT Eka Mas Republik,Jakarta Raya,"Rp14,687,360"
Legal Officer,Indo Ned Consultancy Company,Badung,"Rp6,405,675"
Sales / Marketing Project (Aluminium / Besi / Baja Ringan),PT Star Jaya Lestari,Jakarta Raya,"Rp5,250,000"
EHS Specialist,PT Casco Sea,Batam,"Rp6,766,650"
Senior Accountant,PERSEKUTUAN PERDATA KANTOR KONSULTAN PAJAK ANTHONY ARIS DAN REKAN,Kebon Jeruk,"Rp10,221,298"
R&D Manager,Savoria Group,Kudus,"Rp12,597,909"
Telemarketing,GRATYO Global Awards Winning Business Coaching Company,Jakarta Utara,"Rp5,601,441"
Estimator,PT Permata Bangun Kharisma,Tangerang,"Rp5,154,364"
"BANCASSURANCE SPECIALIST -Dumai, Rengat",PT BNI Life Insurance,Dumai,"Rp3,727,489"
GPON Engineer_Sumatra,PT Fiberhome Technologies Indonesia,Medan,"Rp4,386,088"
Video Editor - Staff,PT. Bugar Bersama AFI,Jakarta Barat,"Rp5,729,336"
Event & Promotion Assistant Manager,PT. MULTIFORTUNA SINARDELTA,Setiabudi,"Rp11,737,647"
Process Engineer,PT. Sutrakabel Intimandiri,Bogor,"Rp6,270,598"
Digital Marketing,PT Perkasa Mitra Cemawis,Jakarta Barat,"Rp6,500,000"
Digital Marketing,PT Perkasa Mitra Cemawis,Jakarta Barat,"Rp6,500,000"
Kindergarten Teacher,BaliLife Daycare & Kindy,Kuta Selatan,"Rp4,000,000"
Accounting Staff,PT Bukit Baros Cempaka,Jakarta Timur,"Rp4,500,000"
R&D Formulator - Skincare,PT MOZAIK UNIVERSE INDONESIA,Cirebon,"Rp4,929,547"
Account Executive Business,PT Supra Primatama Nusantara(Biznet),Medan,"Rp4,842,883"
Credit Marketing Officer (CMO) - Semarang,PT Maybank Indonesia Finance,Semarang,"Rp4,332,833"
Supervisor Maintenance,PT Galaksi Indo Marine,Batam,"Rp5,266,195"
Chief Accounting & Tax,PT Ganda Saribu Utama,Medan,"Rp8,203,478"
Chatime Staff,Kawan Lama Group,Semarang,"Rp4,132,940"
Kasir Jawa Timur,PT Great Giant Pineapple,Jawa Timur,"Rp4,885,609"
Superintendent Utility,PT Surabaya Mekabox,Driyorejo,"Rp8,427,874"
Supervisor Sales,PT SEMERU TEKNIK,Surabaya,"Rp6,000,000"
Area Sales Supervisor GT MT - Rajeg (Tangerang),ASIA PULP AND PAPER,Tangerang,"Rp6,780,570"
Executive Partners,PT Pionir Alfa Sejahtera,Jakarta Raya,"Rp14,428,583"
HSE Staff,Agung Logistics,Tanjung Priok,"Rp5,350,723"
Perawat,PT International Medical Sciences,Kosambi,"Rp5,000,000"
Fit Out Staff,Agung Sedayu Group,Jakarta Selatan,"Rp5,909,393"
2025 Staff Audit Lapangan - Branch Bandar Lampung,"PT. BFI FINANCE INDONESIA, Tbk",Sarolangun,"Rp6,379,745"
Internal Auditor Staff,"PT Jababeka, Tbk",Cikarang,"Rp4,943,797"
Head Chef,Daily Company,Jakarta Barat,"Rp6,382,787"
Product Support Imaging,PT Anugerah Medika Mandiri,Jakarta Raya,"Rp6,250,000"
Electrical Engineer â€“ Power Plant / Utilities and Facilities,PT Perindustrian Sawit Synergi,Sangkulirang,"Rp8,253,687"
Brand Marketing Manager (Non Halal Brand),Boga Group,Jakarta Raya,"Rp15,216,653"
ACCOUNTING,ptvisgiantoptical,Senen,"Rp10,000,000"
Supervisor Sales Admin & Stock,PT Autoaccindo Jaya,Jakarta Pusat,"Rp5,449,268"
Branch Manager (SEMPVRNA AESTHETIC CLINIC),EUROMEDICA GROUP,Jakarta Timur,"Rp7,185,901"
Sales Representative,CV. DUTA LISTRIK,Makassar,"Rp4,375,000"
VIDEO EDITOR,PT PRIAMA FOOD INDONESIA,Bekasi,"Rp3,250,000"
HOST LIVE STREAMING,Dragon Group,Tangerang,"Rp4,346,093"
Network Operation Center (NOC),PT. DIGITAL NETCOM SOLUTION,Bekasi,"Rp5,000,000"
Area Manager (Gorontalo),PT Bina Artha Ventura,Gorontalo,"Rp9,237,149"
BRAND MANAGER,PT Zen Mitra Niaga,Penjaringan,"Rp12,500,000"
General Manager Sales,PT. ONDA MEGA INTEGRA,Jakarta Utara,"Rp3,507,036"
General Manager Sales,PT. ONDA MEGA INTEGRA,Jakarta Utara,"Rp6,444,688"
Fit Out Architect (Surabaya),PT CIPUTRA NUSANTARA (Surabaya),Surabaya,"Rp5,268,621"
Mechanic,PT. MAX AUTO INDONESIA,Medan,"Rp3,507,036"
Marketing Manager,PT Dwitama Prima Sakti,Jakarta Utara,"Rp13,000,000"
Supervisor Purchasing,PT Tirta Alam Segar,Cikarang,"Rp7,173,975"
Property Digital Marketing & Content Creator,BRADY MELBOURNE PROPERTY GROUP,Jakarta Selatan,"Rp6,805,497"
Administrasi Keuangan Proyek,PT Multibrata Anugerah Utama,Jawa Barat,"Rp4,818,002"
Accounting Staff,PT Felicitas Indonesia,Tangerang,"Rp7,688,043"
Partnership Staff,Kawan Lama Group,Kudus,"Rp5,118,501"
KINDERGARTEN TEACHER,YAYASAN INTAN EDUKA - IPH SCHOOLS,Surabaya,"Rp4,481,170"
Graphic Design,Cheon Indonesia,Sleman,"Rp2,750,000"
Marketing Research Assistant Manager,PT. LIUGONG FINANCE INDONESIA,Jakarta Utara,"Rp11,000,000"
Internal Transport / Workshop Assistant (Central Kalimantan),"PT SMART,Tbk",Kalimantan Tengah,"Rp5,420,879"
Boiler Mechanical Engineer,PT Teamworx Indonesia,Jakarta Selatan,"Rp8,688,628"
E Commerce Staff,PT LIMA BINTANG TEKNOLOGI,Jakarta Pusat,"Rp4,750,003"
International Purchasing Officer,PT Suburmandiri Sejahtera,Jakarta Raya,"Rp7,365,874"
SUPERVISOR QAQC,Warsita Karya,Morowali Utara,"Rp6,904,104"
After Sales,PT Sunra Distributor Indonesia,Jakarta Barat,"Rp8,500,000"
Staff Pajak,PT. EASEWAY INVESTMENT CONSULTANT INDONESIA,Jakarta Barat,"Rp5,592,473"
Store Operation Inspector,Valuence International Singapore Pte Ltd,Jakarta Pusat,"Rp5,750,000"
Structural Engineer Section Head,Damai Putra Group,Bekasi,"Rp8,732,064"
ACCOUNTING & FINANCE OFFICER,Pengiklan Anonim,Jakarta Raya,"Rp6,500,000"
Project Manager Cabinet,PT. LIFETIME DESIGN,Jakarta Raya,"Rp10,575,640"
Social Media Officer,PT. AVO INNOVATION TECHNOLOGY,DI Yogyakarta,"Rp3,822,202"
Sales Executive for Food,PT OS Selnajaya Indonesia,Jakarta Pusat,"Rp12,500,000"
Social Media Specialist (Video and Editographer),PT Sumber Alam Putra Lestari,Jakarta Barat,"Rp5,330,684"
Mill Assistant (Kalimantan Barat),"PT SMART,Tbk",Kalimantan Barat,"Rp5,364,599"
Drill and Blast Manager Coal Mining,PT Sumber Mitra Jaya,Balikpapan Timur,"Rp14,890,349"
KEPALA CABANG,PT Intisumber Hasil Sempurna Global,Jakarta Raya,"Rp6,235,949"
SUPERVISOR N&D (Noodle & Derivative) PRODUCTION,PT Pesta Pora Abadi,Majalengka,"Rp5,805,619"
Product & Development (OEM) Manager,PT Arisamandiri Pratama,Demak,"Rp17,500,000"
English Teacher,Sekolah Bogor Raya,Jakarta Raya,"Rp5,367,792"
Staff Teknik,PT Deka Adhinusa,Jakarta Barat,"Rp12,500,000"
Staff Teknik,PT Deka Adhinusa,Jakarta Barat,"Rp9,508,808"
MARKETING MANAGER,Brasali Group,Jakarta Pusat,"Rp12,500,000"
Product Specialist Bandung (Medical Technology Business Segment),PT Elo Karsa Utama,Bandung,"Rp4,833,221"
Danamon Bankers Trainee,"PT Bank Danamon Indonesia, Tbk",Jakarta Raya,"Rp6,038,119"
Accounting,"KAP Kanaka Puradiredja, Suhartono",Jakarta Selatan,"Rp5,867,897"
SALES REPRESENTATIVE (PLASTIC AND RUBBER INDUSTRY),PT Rieckermann Indonesia,Jakarta Selatan,"Rp7,556,795"
Faculty Member Part-time (AFM) Accounting SATU University @ Pontianak,Yayasan Bina Nusantara,Pontianak,"Rp6,776,558"
Customs Merchandiser Manager,Ward Servis Indonesia,Semarang,"Rp10,873,998"
Business Development Department,PT MIZUHO LEASING INDONESIA TBK,Jakarta Raya,"Rp7,499,571"
Team Leader - Bali,PT Dana Kharisma,Denpasar,"Rp5,200,000"
Finance Treasury Staff,Korn Ferry (Agensi Pekerjaan Futurestep Worldwide (M) Sdn Bhd),Pasuruan,"Rp5,098,025"
Sales and Business Development Staff,PT Patco Elektronik Teknologi,Bekasi,"Rp6,879,626"
Sharia Mortgage RM - Jabodetabek,PT CIMB Niaga Tbk,Jakarta Raya,"Rp5,770,131"
KOL Specialist,PT Ticle Sampurna Indonesia,Jakarta Pusat,"Rp6,037,698"
Supervisor Store,PT. DECOMART SENTRA BANGUNAN,Tebing Tinggi,"Rp5,500,000"
Area User Growth Associate,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Makassar,"Rp4,534,873"
Senior Structural Engineer,PT Smoe Indonesia,Batam,"Rp7,213,105"
Store Manager,PT. Indah Medika Indonesia,Kabupaten Bantul,"Rp3,000,000"
Video Editor,PT. TEXANIA HOUSEWARE INDONESIA,Tangerang,"Rp4,142,667"
System Internal Control,PT Indo Furnitama Raya,Kabupaten Pasuruan,"Rp5,245,816"
Staff Purchasing,PT Hosana Cipta Designindo,Jakarta Barat,"Rp4,817,150"
Staff Senior Inventory Control,PT Kimia Konstruksi Indonesia,Sidoarjo,"Rp5,750,000"
Sales Force (Modern Trade/HORECA),PT Krakatau Karya Abadi,Surabaya,"Rp5,336,847"
Sales Staff,PT Jakarta KYOAI Medical Center,Jakarta Pusat,"Rp5,500,000"
Finance & Accounting Supervisor (SPV),PT Perdana Rancangbangun Utama (PROBUILDER GROUP),Jakarta Utara,"Rp7,564,820"
BAKER (Roti),Reny SwalayanKu,Surabaya,"Rp5,623,887"
GENERAL AFFAIR (GA) MANAGER,Lazuna Chicken,Makassar,"Rp7,500,000"
Waiter / Waitress,Sekar Jagad by Javanegra,Setiabudi,"Rp3,701,522"
Jangkar,PT LUMINA GLOBAL GROUP,Teluknaga,"Rp5,000,000"
Finance Accounting Tax (FAT) Assistant Manager,PT Karang Mas Sejahtera,Bali,"Rp11,630,944"
Site Supervisor,Pengiklan Anonim,Teweh Timur,"Rp5,027,121"
